"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2019","Luxembourg","Tonne","5,058",""
"2019","Hungary","Tonne","72,900",""
"2019","Malta","Tonne","1,219",""
"2019","Netherlands","Tonne","107,063",""
"2019","Austria","Tonne","58,230",""
"2019","Poland","Tonne","299,880",""
"2019","Portugal","Tonne","47,590",""
"2019","Romania","Tonne","159,020",""
"2019","Slovenia","Tonne","16,540",""
"2019","Finland","Tonne","28,277",""
"2019","Sweden","Tonne","45,060",""
"2019","Iceland","Tonne","4,343",""
"2019","Liechtenstein","Tonne","195",""
"2019","Norway","Tonne","26,160",""
"2019","Switzerland","Tonne","49,350",""
