"TIME","GEO","AIRPOL","Value","Flag and Footnotes"
"2016","Switzerland","Particulates < 10µm","15",""
"2016","United Kingdom","Particulates < 2.5µm","10.4",""
"2016","United Kingdom","Particulates < 10µm","17.6",""
"2017","Belgium","Particulates < 2.5µm","12.8",""
"2017","Belgium","Particulates < 10µm","20.4",""
"2017","Bulgaria","Particulates < 2.5µm","23.8",""
"2017","Bulgaria","Particulates < 10µm","36.8",""
"2017","Czechia","Particulates < 2.5µm","18.4",""
"2017","Czechia","Particulates < 10µm","23.9",""
"2017","Denmark","Particulates < 2.5µm","9.2",""
"2017","Denmark","Particulates < 10µm","15.5",""
"2017","Germany (until 1990 former territory of the FRG)","Particulates < 2.5µm","12.8",""
"2017","Germany (until 1990 former territory of the FRG)","Particulates < 10µm","17.6",""
"2017","Estonia","Particulates < 2.5µm","5.3",""
"2017","Estonia","Particulates < 10µm","10.7",""
"2017","Ireland","Particulates < 2.5µm","8",""
"2017","Ireland","Particulates < 10µm","11.5",""
"2017","Greece","Particulates < 2.5µm","13.5",""
"2017","Greece","Particulates < 10µm","25.3",""
"2017","Spain","Particulates < 2.5µm","12.1",""
"2017","Spain","Particulates < 10µm","22",""
"2017","France","Particulates < 2.5µm","12",""
"2017","France","Particulates < 10µm","19.1",""
"2017","Croatia","Particulates < 2.5µm","19",""
"2017","Croatia","Particulates < 10µm","35.1",""
"2017","Italy","Particulates < 2.5µm","19.2",""
"2017","Italy","Particulates < 10µm","29",""
"2017","Cyprus","Particulates < 2.5µm","14.7",""
"2017","Cyprus","Particulates < 10µm","29.2",""
"2017","Latvia","Particulates < 2.5µm","13.6",""
"2017","Latvia","Particulates < 10µm","17.2",""
"2017","Lithuania","Particulates < 2.5µm","8.6",""
"2017","Lithuania","Particulates < 10µm","22.8",""
"2017","Luxembourg","Particulates < 2.5µm","13.2",""
"2017","Luxembourg","Particulates < 10µm","22.5",""
"2017","Hungary","Particulates < 2.5µm","20.9",""
"2017","Hungary","Particulates < 10µm","26.5",""
"2017","Malta","Particulates < 2.5µm",":",""
"2017","Malta","Particulates < 10µm",":",""
"2017","Netherlands","Particulates < 2.5µm","11.3",""
"2017","Netherlands","Particulates < 10µm","19.2",""
"2017","Austria","Particulates < 2.5µm","14.1",""
"2017","Austria","Particulates < 10µm","19.1",""
"2017","Poland","Particulates < 2.5µm","24.1",""
"2017","Poland","Particulates < 10µm","32.5",""
"2017","Portugal","Particulates < 2.5µm","12",""
